Tissue	Comparison	Expression	Nvir_gene_id	Uniprot_entry	Protein_names	logFC	logCPM	LR	Pvalue	FDR	GO_ID	GO_category	GO_term	Search_term_match
liv	bsal_ctl	up	comp1630892	IRG1_HUMAN	Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)	3.136969874	3.59E-01	15.86798626	6.79E-05	0.004363108	"GO:0071347, GO:0071356, GO:0032480, GO:0045087, GO:0002922, GO:0006955, GO:0002759, GO:0072573, GO:0071393, GO:0034136, GO:0002833, GO:0032103, GO:0019541, GO:2000379, GO:0034144, GO:0045824, GO:0035458, GO:0043902, GO:0002920, GO:0032088, GO:0034097, GO:0005737"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC"	"cellular response to interleukin-1, cellular response to tumor_necrosis factor, negative regulation of type I interferon production, innate immune response, positive regulation of humoral immune response, immune response, regulation of antimicrobial humoral response, tolerance induction to lipopolysaccharide, cellular response to progesterone stimulus, negative regulation of toll-like receptor 2 signaling pathway, positive regulation of response to biotic stimulus, positive regulation of response to external stimulus, propionate metabolic process, positive regulation of reactive oxygen species metabolic process, negative regulation of toll-like receptor 4 signaling pathway, negative regulation of innate immune response, cellular response to interferon-beta, positive regulation of multi-organism process, regulation of humoral immune response, negative regulation of NF-kappaB transcription factor activity, response to cytokine, cytoplasm "	tumor_necrosis
liv	bsal_ctl	up	comp361227	IRG1_HUMAN	Cis-aconitate decarboxylase (CAD) (EC 4.1.1.6) (Aconitate decarboxylase) (Aconitate decarboxylase 1) (Cis-aconitic acid decarboxylase) (Immune-responsive gene 1 protein)	2.831264254	3.74E+00	15.5509989	8.03E-05	0.004977474	"GO:0071347, GO:0071356, GO:0032480, GO:0045087, GO:0002922, GO:0006955, GO:0002759, GO:0072573, GO:0071393, GO:0034136, GO:0002833, GO:0032103, GO:0019541, GO:2000379, GO:0034144, GO:0045824, GO:0035458, GO:0043902, GO:0002920, GO:0032088, GO:0034097, GO:0005737"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC"	"cellular response to interleukin-1, cellular response to tumor_necrosis factor, negative regulation of type I interferon production, innate immune response, positive regulation of humoral immune response, immune response, regulation of antimicrobial humoral response, tolerance induction to lipopolysaccharide, cellular response to progesterone stimulus, negative regulation of toll-like receptor 2 signaling pathway, positive regulation of response to biotic stimulus, positive regulation of response to external stimulus, propionate metabolic process, positive regulation of reactive oxygen species metabolic process, negative regulation of toll-like receptor 4 signaling pathway, negative regulation of innate immune response, cellular response to interferon-beta, positive regulation of multi-organism process, regulation of humoral immune response, negative regulation of NF-kappaB transcription factor activity, response to cytokine, cytoplasm "	tumor_necrosis
liv	bsal_ctl	up	comp340897	TIRAP_HUMAN	Toll/interleukin-1 receptor domain-containing adapter protein (TIR domain-containing adapter protein) (Adaptor protein Wyatt) (MyD88 adapter-like protein) (MyD88-2)	2.283779867	1.48504131	13.82447928	0.000200704	0.009886845	"GO:0042742, GO:0032757, GO:0045087, GO:0006955, GO:0032760, GO:0034137, GO:0002755, GO:0034123, GO:0032103, GO:0043123, GO:0032735, GO:0007250, GO:0005737, GO:0046982"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, MF"	"defense response to bacterium, positive regulation of interleukin-8 production, innate immune response, immune response, positive regulation of tumor_necrosis factor production, positive regulation of toll-like receptor 2 signaling pathway, MyD88-dependent toll-like receptor signaling pathway, positive regulation of toll-like receptor signaling pathway, positive regulation of response to external stimulus, positive regulation of I-kappaB kinase/NF-kappaB signaling, positive regulation of interleukin-12 production, activation of NF-kappaB-inducing kinase activity, cytoplasm, protein heterodimerization activity "	tumor_necrosis
liv	bsal_ctl	up	comp361045	IFIH1_HUMAN	Interferon-induced helicase C domain-containing protein 1 (EC 3.6.4.13) (Clinically amyopathic dermatomyositis autoantigen 140 kDa) (CADM-140 autoantigen) (Helicase with 2 CARD domains) (Helicard) (Interferon-induced with helicase C domain protein 1) (Melanoma differentiation-associated protein 5) (MDA-5) (Murabutide down-regulated protein) (RIG-I-like receptor 2) (RLR-2) (RNA helicase-DEAD box protein 116)	1.769305081	3.684677408	13.40417103	0.000251065	0.011784675	"GO:0051607, GO:0032480, GO:0045087, GO:2000778, GO:0006955, GO:0098586, GO:0032760, GO:0050707, GO:1904467, GO:0034097, GO:0005634, GO:0005737, GO:0005524"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF"	"defense response_to_virus, negative regulation of type I interferon production, innate immune response, positive regulation of interleukin-6 secretion, immune response, cellular response_to_virus, positive regulation of tumor_necrosis factor production, regulation of cytokine secretion, regulation of tumor_necrosis factor secretion, response to cytokine, nucleus, cytoplasm, ATP binding "	tumor_necrosis
liv	bsal_ctl	up	comp364007	GPDA_MOUSE	"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic (GPD-C) (GPDH-C) (EC 1.1.1.8)"	1.066764573	7.185538499	12.08887177	0.000507237	0.01899655	"GO:0071356, GO:0034097, GO:0005737"	"BP, BP, CC"	"cellular response to tumor_necrosis factor, response to cytokine, cytoplasm "	tumor_necrosis
liv	bsal_ctl	up	comp360318	TANK_HUMAN	TRAF family member-associated NF-kappa-B activator (TRAF-interacting protein) (I-TRAF)	1.025876046	3.725650315	10.61552777	0.001121419	0.033095923	"GO:0071347, GO:0071356, GO:0045087, GO:0006955, GO:0043124, GO:1903003, GO:0006974, GO:0034097, GO:0005737, GO:0044389"	"BP, BP, BP, BP, BP, BP, BP, BP, CC, MF"	"cellular response to interleukin-1, cellular response to tumor_necrosis factor, innate immune response, immune response, negative regulation of I-kappaB kinase/NF-kappaB signaling, positive regulation of protein deubiquitination, cellular response to DNA damage stimulus, response to cytokine, cytoplasm, ubiquitin-like protein ligase binding "	tumor_necrosis
liv	bsal_ctl	up	comp350406	ARP3_RAT	Actin-related protein 3 (Actin-like protein 3)	0.852961943	7.618952626	10.28644719	0.001340109	0.037802233	"GO:0071347, GO:0051258, GO:0071356, GO:0034097, GO:0005634, GO:0005694, GO:0005885, GO:0005737, GO:0005524"	"BP, BP, BP, BP, CC, CC, CC, CC, MF"	"cellular response to interleukin-1, protein polymerization, cellular response to tumor_necrosis factor, response to cytokine, nucleus, chromosome, Arp2/3 protein complex, cytoplasm, ATP binding "	tumor_necrosis
liv	bsal_ctl	up	comp341178	ZC12A_RAT	Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)	1.517959348	1.901471122	10.1178183	0.001468427	0.039461458	"GO:0071347, GO:0051607, GO:0002230, GO:0071356, GO:0006955, GO:0098586, GO:0043124, GO:1903003, GO:2000379, GO:0019048, GO:1900016, GO:0050707, GO:0032088, GO:0006915, GO:0032611, GO:1904467, GO:0006974, GO:0034097, GO:0010884, GO:0002250, GO:1900182, GO:0005634, GO:0005737"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC"	"cellular response to interleukin-1, defense response_to_virus, positive regulation of defense response_to_virus by host, cellular response to tumor_necrosis factor, immune response, cellular response_to_virus, negative regulation of I-kappaB kinase/NF-kappaB signaling, positive regulation of protein deubiquitination, positive regulation of reactive oxygen species metabolic process, modulation by virus of host morphology or physiology, negative regulation of cytokine production involved in inflammatory response, regulation of cytokine secretion, negative regulation of NF-kappaB transcription factor activity, apoptotic process, interleukin-1 beta production, regulation of tumor_necrosis factor secretion, cellular response to DNA damage stimulus, response to cytokine, positive regulation of lipid storage, adaptive immune response, positive regulation of protein localization to nucleus, nucleus, cytoplasm "	tumor_necrosis
liv	bsal_ctl	up	comp352721	FADD_MOUSE	FAS-associated death domain protein (FAS-associating death domain-containing protein) (Mediator of receptor induced toxicity) (Protein FADD)	1.521054642	1.221314151	9.972271913	0.001589153	0.041625398	"GO:0051607, GO:0032757, GO:0045087, GO:0006955, GO:0032760, GO:0060340, GO:0042104, GO:0001916, GO:0097202, GO:0043123, GO:2001238, GO:0006915, GO:0032729, GO:0060337, GO:0045639, GO:0034097, GO:0002250, GO:0005634, GO:0005737, GO:0033612"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, CC, MF"	"defense response_to_virus, positive regulation of interleukin-8 production, innate immune response, immune response, positive regulation of tumor_necrosis factor production, positive regulation of type I interferon-mediated signaling pathway, positive regulation of activated t_cell proliferation, positive regulation of t_cell mediated cytotoxicity, activation of cysteine-type endopeptidase activity, positive regulation of I-kappaB kinase/NF-kappaB signaling, positive regulation of extrinsic apoptotic signaling pathway, apoptotic process, positive regulation of interferon-gamma production, type I interferon signaling pathway, positive regulation of myeloid cell differentiation, response to cytokine, adaptive immune response, nucleus, cytoplasm, receptor serine/threonine kinase binding "	tumor_necrosis
liv	inf_ctl	down	comp359637	GSTP1_RAT	Glutathione S-transferase P (EC 2.5.1.18) (Chain 7) (GST 7-7) (GST class-pi)	-1.236755452	6.88E+00	2.87E+01	8.43E-08	8.72E-05	"GO:1904706, GO:0031100, GO:0006805, GO:0000302, GO:0032720, GO:0034284, GO:0070664, GO:0032355, GO:0009893, GO:0071219, GO:0071638, GO:0071460, GO:0045471, GO:0032930, GO:0071672, GO:0032869, GO:0032691, GO:0051769, GO:1901698, GO:0014912, GO:0007584, GO:0005623, GO:0004602, GO:0008144, GO:0043295, GO:0043168"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, MF, MF, MF, MF"	"negative regulation of vascular smooth muscle cell proliferation, animal organ regeneration, xenobiotic metabolic process, response to reactive oxygen species, negative regulation of tumor_necrosis factor production, response to monosaccharide, negative regulation of leukocyte proliferation, response to estradiol, positive regulation of metabolic process, cellular response to molecule of bacterial origin, negative regulation of monocyte chemotactic protein-1 production, cellular response to cell-matrix adhesion, response to ethanol, positive regulation of superoxide anion generation, negative regulation of smooth muscle cell chemotaxis, cellular response to insulin stimulus, negative regulation of interleukin-1 beta production, regulation of nitric-oxide synthase biosynthetic process, response to nitrogen compound, negative regulation of smooth muscle cell migration, response to nutrient, cell, glutathione peroxidase activity, drug binding, glutathione binding, anion binding "	tumor_necrosis
liv	inf_ctl	down	comp357893	GPNMB_RAT	Transmembrane glycoprotein NMB	-1.618813036	8.18E+00	23.08520994	1.55E-06	0.000606206	"GO:0032720, GO:0070664, GO:0009893, GO:0005623, GO:0045545, GO:0043168"	"BP, BP, BP, CC, MF, MF"	"negative regulation of tumor_necrosis factor production, negative regulation of leukocyte proliferation, positive regulation of metabolic process, cell, syndecan binding, anion binding "	tumor_necrosis
