Nvir_gene_id	Ortholog_gene_name	Uniprot_entry	Protein_names	logFC	logCPM	LR	PValue	FDR	GO_ID	GO_category	GO_term	Tissue	Comparison	Expression
comp353475	AGXT2	AGT2_HUMAN	"Alanine--glyoxylate aminotransferase 2, mitochondrial (AGT 2) (EC 2.6.1.44) ((R)-3-amino-2-methylpropionate--pyruvate transaminase) (EC 2.6.1.40) (Beta-ALAAT II) (Beta-alanine-pyruvate aminotransferase) (D-AIBAT)"	-1.871287837	6.54933057	14.68191723	0.000127261	0.049124446	"GO:0042853, GO:0046185, GO:0006544, GO:0009070, GO:0045429, GO:0008483, GO:0030170"	"BP, BP, BP, BP, BP, MF, MF"	"L-alanine catabolic process, aldehyde catabolic process, glycine metabolic process, serine family amino acid biosynthetic process, positive regulation of nitric oxide biosynthetic process, transaminase activity, pyridoxal phosphate binding"	liver	bd_ctl	down
comp360291	NA	"GAL3B_HUMAN, GAL3A_HUMAN"	"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial (Keio novel protein-I) (KNP-I) (Protein GT335) (Protein HES1), Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial"	-1.773782154	5.691845201	20.65002976	5.51E-06	0.004865272	NA	NA	NA	liver	bd_ctl	down
comp347354	NA	NA	NA	-1.644339456	3.039585568	16.6304704	4.54E-05	0.02422436	NA	NA	NA	liver	bd_ctl	down
comp301671	NA	NA	NA	9.854413997	2.422579444	14.66543778	0.000128379	0.049124446	NA	NA	NA	liver	bd_ctl	up
comp356978	NA	NA	NA	6.972142102	1.13241026	15.98578298	6.38E-05	0.030393736	NA	NA	NA	liver	bd_ctl	up
comp364260	NA	TAL2_TACTR	Tachylectin-2 (Lectin L10c)	6.816884791	2.518333109	16.05908983	6.14E-05	0.030393736	NA	NA	NA	liver	bd_ctl	up
comp283143	NA	NA	NA	4.37537471	0.634096882	22.58844074	2.01E-06	0.002943765	NA	NA	NA	liver	bd_ctl	up
comp238292	NA	NA	NA	4.185769234	0.52809386	17.53383277	2.82E-05	0.016559986	NA	NA	NA	liver	bd_ctl	up
comp343022	APOA4	APOA4_MACFA	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	4.042478837	4.263343887	29.62646908	5.24E-08	0.000307358	"GO:0042157, GO:0042627, GO:0034364"	"BP, CC, CC"	"lipoprotein metabolic process, chylomicron, high-density lipoprotein particle"	liver	bd_ctl	up
comp1745762	B3GNTL1	B3GNL_HUMAN	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1 (BGnT-like protein 1) (Beta1,3-N-acetylglucosaminyltransferase-like protein 1) (Beta3Gn-T-like protein 1) (Beta3GnTL1) (EC 2.4.1.-) (Beta-1,3-N-acetylglucosaminyltransferase 8) (BGnT-8) (Beta-1,3-Gn-T8) (Beta3Gn-T8)"	4.042172773	2.690831403	18.0556512	2.15E-05	0.013486959	NA	NA	NA	liver	bd_ctl	up
comp174888	NA	NA	NA	3.884286903	0.680119029	20.81267806	5.06E-06	0.004865272	NA	NA	NA	liver	bd_ctl	up
comp322411	NA	NA	NA	3.862278561	3.311090085	19.24401466	1.15E-05	0.007787561	NA	NA	NA	liver	bd_ctl	up
comp360192	NA	NA	NA	3.652460771	2.620296727	20.21422654	6.92E-06	0.00529867	NA	NA	NA	liver	bd_ctl	up
comp343262	ttc39b	TT39B_XENTR	Tetratricopeptide repeat protein 39B (TPR repeat protein 39B)	3.557064731	4.671427582	20.65443721	5.50E-06	0.004865272	GO:0006629	BP	lipid metabolic process	liver	bd_ctl	up
comp339857	NA	NA	NA	3.411856207	1.003520856	14.8890184	0.000114025	0.045615118	NA	NA	NA	liver	bd_ctl	up
comp343846	NA	NA	NA	3.055691865	2.077568133	15.79318867	7.07E-05	0.031533901	NA	NA	NA	liver	bd_ctl	up
comp273722	NA	NA	NA	3.030739082	2.279575855	15.74897221	7.23E-05	0.031533901	NA	NA	NA	liver	bd_ctl	up
comp343804	HBB1	HBB1_TRICR	Hemoglobin subunit beta-1 (Beta-1-globin) (Hemoglobin beta-1 chain) (Hemoglobin beta-major chain)	2.83905827	1.562482254	23.51988115	1.24E-06	0.001978299	"GO:0005833, GO:0005344, GO:0019825, GO:0020037"	"CC, MF, MF, MF"	"hemoglobin complex, oxygen carrier activity, oxygen binding, heme binding"	liver	bd_ctl	up
comp346993	retsat	RETST_DANRE	"All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase A) (RetSat A) (All-trans-retinol 7,8-reductase)"	2.765675003	2.09691187	17.90925846	2.32E-05	0.01406286	GO:0051786	MF	"all-trans-retinol 13,14-reductase activity"	liver	bd_ctl	up
comp347967	NA	HBA2_PLEWA	Hemoglobin subunit alpha-2 (Alpha-2-globin) (Hemoglobin alpha-2 chain) (Hemoglobin alpha-minor chain) (Fragment)	2.723470633	9.29405254	15.76877883	7.16E-05	0.031533901	"GO:0005833, GO:0005344, GO:0019825, GO:0020037"	"CC, MF, MF, MF"	"hemoglobin complex, oxygen carrier activity, oxygen binding, heme binding"	liver	bd_ctl	up
comp350326	NA	HBA1_PLEWA	Hemoglobin subunit alpha-1 (Alpha-1-globin) (Hemoglobin alpha-1 chain) (Hemoglobin alpha-major chain)	2.632039773	10.73587277	25.40643256	4.64E-07	0.001021724	"GO:0005833, GO:0005344, GO:0019825, GO:0020037"	"CC, MF, MF, MF"	"hemoglobin complex, oxygen carrier activity, oxygen binding, heme binding"	liver	bd_ctl	up
comp7441668	NA	NA	NA	2.307086254	1.777393119	15.67421965	7.52E-05	0.031533901	NA	NA	NA	liver	bd_ctl	up
comp347279	HBB1	HBB1_TRICR	Hemoglobin subunit beta-1 (Beta-1-globin) (Hemoglobin beta-1 chain) (Hemoglobin beta-major chain)	2.04864421	9.796349321	21.93462631	2.82E-06	0.003546774	"GO:0005833, GO:0005344, GO:0019825, GO:0020037"	"CC, MF, MF, MF"	"hemoglobin complex, oxygen carrier activity, oxygen binding, heme binding"	liver	bd_ctl	up
comp332225	NUDT20	NUD20_ARATH	"Nudix hydrolase 20, chloroplastic (AtNUDT20) (EC 3.6.1.-)"	1.589167558	1.973240614	15.22330231	9.55E-05	0.039099978	GO:0017110	MF	nucleoside-diphosphatase activity	liver	bd_ctl	up
comp360587	ELOVL6	ELOV6_CHICK	Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6)	1.587409459	6.796787775	19.28001975	1.13E-05	0.007787561	"GO:0034625, GO:0034626, GO:0019367, GO:0035338, GO:0042761, GO:0042759, GO:0006636, GO:0030148, GO:0006629, GO:0009922, GO:0102336, GO:0102337, GO:0102338, GO:0102756"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, MF, MF, MF, MF, MF"	"fatty acid elongation, monounsaturated fatty acid, fatty acid elongation, polyunsaturated fatty acid, fatty acid elongation, saturated fatty acid, long-chain fatty-acyl-CoA biosynthetic process, very long-chain fatty acid biosynthetic process, long-chain fatty acid biosynthetic process, unsaturated fatty acid biosynthetic process, sphingolipid biosynthetic process, lipid metabolic process, fatty acid elongase activity, 3-oxo-arachidoyl-CoA synthase activity, 3-oxo-cerotoyl-CoA synthase activity, 3-oxo-lignoceronyl-CoA synthase activity, very-long-chain 3-ketoacyl-CoA synthase activity"	liver	bd_ctl	up
comp351708	NA	NA	NA	1.407580207	4.065456329	17.39168601	3.04E-05	0.017270031	NA	NA	NA	liver	bd_ctl	up
comp361124	NA	NA	NA	1.28824967	4.667035232	16.41030198	5.10E-05	0.026406755	NA	NA	NA	liver	bd_ctl	up
comp375595	NA	NA	NA	-11.10359288	4.851055803	14.63148662	0.000130712	0.031458708	NA	NA	NA	skin	bd_ctl	down
comp356351	NA	NA	NA	-9.634151847	3.002491457	32.56994227	1.15E-08	0.000160387	NA	NA	NA	skin	bd_ctl	down
comp353316	NA	NA	NA	-5.894770101	1.330757001	18.74722445	1.49E-05	0.009199156	NA	NA	NA	skin	bd_ctl	down
comp358335	NA	NA	NA	-5.225291152	0.185027594	14.10903319	0.000172513	0.03627001	NA	NA	NA	skin	bd_ctl	down
comp354814	NA	NA	NA	-4.435713894	3.660857537	16.29268148	5.43E-05	0.020830806	NA	NA	NA	skin	bd_ctl	down
comp367082	C16orf89	CP089_HUMAN	UPF0764 protein C16orf89	-4.344607706	2.062946072	18.05187631	2.15E-05	0.011877359	GO:0005829	CC	cytosol	skin	bd_ctl	down
comp359497	XDH	XDH_CHICK	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	-4.1602976	1.60240775	13.42255952	0.000248616	0.041994897	"GO:0009115, GO:0046415, GO:0072522, GO:0005829, GO:0005777, GO:0030151, GO:0004854, GO:0043546, GO:0051537, GO:0071949, GO:0009055"	"BP, BP, BP, CC, CC, MF, MF, MF, MF, MF, MF"	"xanthine catabolic process, urate metabolic process, purine-containing compound biosynthetic process, cytosol, peroxisome, molybdenum ion binding, xanthine dehydrogenase activity, molybdopterin cofactor binding, 2 iron, 2 sulfur cluster binding, FAD binding, electron transfer activity"	skin	bd_ctl	down
comp358710	NA	NA	NA	-2.872620854	5.949624627	17.34146753	3.12E-05	0.01547586	NA	NA	NA	skin	bd_ctl	down
comp362086	frrs1	FRRS1_DANRE	Putative ferric-chelate reductase 1 (EC 1.-.-.-)	-2.84575466	3.369259549	15.43177578	8.55E-05	0.026259354	NA	NA	NA	skin	bd_ctl	down
comp351265	FBXL3	FBXL3_HUMAN	F-box/LRR-repeat protein 3 (F-box and leucine-rich repeat protein 3A) (F-box/LRR-repeat protein 3A)	-2.777774649	6.577130273	27.79209851	1.35E-07	0.00044492	"GO:0043153, GO:0031648, GO:0031146, GO:0043687, GO:0005829, GO:0019005"	"BP, BP, BP, BP, CC, CC"	"entrainment of circadian clock by photoperiod, protein destabilization, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, post-translational protein modification, cytosol, SCF ubiquitin ligase complex"	skin	bd_ctl	down
comp359717	NA	NA	NA	-2.739934792	5.218100704	17.17017409	3.42E-05	0.01575899	NA	NA	NA	skin	bd_ctl	down
comp348794	NA	NA	NA	-2.647138423	4.1343943	17.72818077	2.55E-05	0.013611017	NA	NA	NA	skin	bd_ctl	down
comp357450	CLN5	CLN5_BOVIN	"Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]"	-2.56086025	2.791949607	13.57895531	0.000228736	0.040361605	"GO:1904426, GO:0007042, GO:0006465, GO:0007601, GO:0042147, GO:0070085, GO:0005829, GO:0005775, GO:0005537"	"BP, BP, BP, BP, BP, BP, CC, CC, MF"	"positive regulation of GTP binding, lysosomal lumen acidification, signal peptide processing, visual perception, retrograde transport, endosome to Golgi, glycosylation, cytosol, vacuolar lumen, mannose binding"	skin	bd_ctl	down
comp354378	NA	NA	NA	-2.458016572	3.914240444	13.50635823	0.000237756	0.041582139	NA	NA	NA	skin	bd_ctl	down
comp355333	NA	NA	NA	-2.316374653	1.887403498	13.67933741	0.000216827	0.040048168	NA	NA	NA	skin	bd_ctl	down
comp363672	NA	NA	NA	-2.288404658	1.737464847	15.61650142	7.76E-05	0.025135517	NA	NA	NA	skin	bd_ctl	down
comp312482	NA	NA	NA	-1.857864816	4.766777679	15.42674703	8.58E-05	0.026259354	NA	NA	NA	skin	bd_ctl	down
comp344804	Krt24	K1C24_MOUSE	"Keratin, type I cytoskeletal 24 (Cytokeratin-24) (CK-24) (Keratin-24) (K24) (Type I keratin-24)"	9.239896405	3.637112927	26.00720652	3.40E-07	0.000746921	"GO:0005882, GO:0005198"	"CC, MF"	"intermediate filament, structural molecule activity"	skin	bd_ctl	up
comp2364374	NA	NA	NA	8.034411542	2.170569727	13.58917956	0.000227493	0.040361605	NA	NA	NA	skin	bd_ctl	up
comp3040980	NA	NA	NA	8.000000835	2.501137621	15.88282763	6.74E-05	0.022961672	NA	NA	NA	skin	bd_ctl	up
comp2150775	NA	NA	NA	7.915656716	1.182886378	31.90007679	1.62E-08	0.000160387	NA	NA	NA	skin	bd_ctl	up
comp363771	KRT5	K2C5_PANTR	"Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)"	7.70084158	6.677707037	14.50220182	0.000139996	0.032549851	"GO:0005882, GO:0045095, GO:0005198"	"CC, CC, MF"	"intermediate filament, keratin filament, structural molecule activity"	skin	bd_ctl	up
comp354171	Krt42	K1C42_RAT	"Keratin, type I cytoskeletal 42 (Cytokeratin-42) (CK-42) (Keratin-42) (K42) (Type I keratin Ka22)"	6.989096255	3.469838019	17.33580626	3.13E-05	0.01547586	"GO:0005882, GO:0005198"	"CC, MF"	"intermediate filament, structural molecule activity"	skin	bd_ctl	up
comp337504	NA	NA	NA	6.802938354	1.955130953	16.76189955	4.24E-05	0.017091233	NA	NA	NA	skin	bd_ctl	up
comp359470	NA	NA	NA	6.535939642	0.444979735	21.31012028	3.91E-06	0.003509402	NA	NA	NA	skin	bd_ctl	up
comp2374362	NA	NA	NA	6.500225586	2.520111059	15.13632403	0.00010002	0.027454154	NA	NA	NA	skin	bd_ctl	up
comp1508531	NOS2	NOS2_CHICK	"Nitric oxide synthase, inducible (EC 1.14.13.39) (Inducible NO synthase) (Inducible NOS) (iNOS) (Macrophage NOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)"	6.492313842	3.042452979	17.27162183	3.24E-05	0.015617088	"GO:0042742, GO:0006527, GO:0009725, GO:0018119, GO:0032310, GO:0007263, GO:0072606, GO:0032496, GO:0051349, GO:0031281, GO:1900015, GO:1900373, GO:0072604, GO:0045776, GO:0006809, GO:0008152, GO:0006952, GO:0012506, GO:0003958, GO:0010181, GO:0016709, GO:0050661, GO:0050660, GO:0020037"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, MF, MF, MF, MF, MF, MF"	"defense response to bacterium, arginine catabolic process, response to hormone, peptidyl-cysteine S-nitrosylation, prostaglandin secretion, nitric oxide mediated signal transduction, interleukin-8 secretion, response to lipopolysaccharide, positive regulation of lyase activity, positive regulation of cyclase activity, regulation of cytokine production involved in inflammatory response, positive regulation of purine nucleotide biosynthetic process, interleukin-6 secretion, negative regulation of blood pressure, nitric oxide biosynthetic process, metabolic process, defense response, vesicle membrane, NADPH-hemoprotein reductase activity, FMN binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, NADP binding, flavin adenine dinucleotide binding, heme binding"	skin	bd_ctl	up
comp355129	TMLHE	TMLH_CHICK	"Trimethyllysine dioxygenase, mitochondrial (EC 1.14.11.8) (Epsilon-trimethyllysine 2-oxoglutarate dioxygenase) (TML hydroxylase) (TML-alpha-ketoglutarate dioxygenase) (TML dioxygenase) (TMLD)"	6.319068945	2.466825322	14.26798895	0.000158538	0.0352044	"GO:0045329, GO:0008152"	"BP, BP"	"carnitine biosynthetic process, metabolic process"	skin	bd_ctl	up
comp105543	NA	NA	NA	6.295613175	0.255400392	13.98859667	0.000183923	0.036715808	NA	NA	NA	skin	bd_ctl	up
comp335121	Krt42	K1C42_RAT	"Keratin, type I cytoskeletal 42 (Cytokeratin-42) (CK-42) (Keratin-42) (K42) (Type I keratin Ka22)"	6.181809422	2.179554247	14.22350096	0.000162331	0.035645975	"GO:0005882, GO:0005198"	"CC, MF"	"intermediate filament, structural molecule activity"	skin	bd_ctl	up
comp1627250	NA	NA	NA	5.905748958	4.959390699	18.73936934	1.50E-05	0.009199156	NA	NA	NA	skin	bd_ctl	up
comp54059	NA	NA	NA	5.759508963	1.769854515	16.89002376	3.96E-05	0.016308269	NA	NA	NA	skin	bd_ctl	up
comp328311	CAPN14	CAN14_HUMAN	Calpain-14 (EC 3.4.22.-) (Calcium-activated neutral proteinase 14) (CANP 14)	5.681099484	2.959263104	13.05218115	0.000302931	0.048856721	GO:0008152	BP	metabolic process	skin	bd_ctl	up
comp162128	Rnf223	RN223_MOUSE	RING finger protein 223	5.634584278	1.512949311	17.01044364	3.72E-05	0.016082382	NA	NA	NA	skin	bd_ctl	up
comp360404	mmp18	MMP18_XENLA	Matrix metalloproteinase-18 (MMP-18) (EC 3.4.24.-) (Collagenase-4) (xCol4)	5.435892522	5.877436225	22.50931907	2.09E-06	0.002175247	"GO:0030574, GO:0008152, GO:0005576, GO:0031012, GO:0004222"	"BP, BP, CC, CC, MF"	"collagen catabolic process, metabolic process, extracellular region, extracellular matrix, metalloendopeptidase activity"	skin	bd_ctl	up
comp295401	NOS2	NOS2_CHICK	"Nitric oxide synthase, inducible (EC 1.14.13.39) (Inducible NO synthase) (Inducible NOS) (iNOS) (Macrophage NOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)"	5.338170202	4.601488689	14.29937333	0.000155917	0.035015719	"GO:0042742, GO:0006527, GO:0009725, GO:0018119, GO:0032310, GO:0007263, GO:0072606, GO:0032496, GO:0051349, GO:0031281, GO:1900015, GO:1900373, GO:0072604, GO:0045776, GO:0006809, GO:0008152, GO:0006952, GO:0012506, GO:0003958, GO:0010181, GO:0016709, GO:0050661, GO:0050660, GO:0020037"	"BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, BP, CC, MF, MF, MF, MF, MF, MF"	"defense response to bacterium, arginine catabolic process, response to hormone, peptidyl-cysteine S-nitrosylation, prostaglandin secretion, nitric oxide mediated signal transduction, interleukin-8 secretion, response to lipopolysaccharide, positive regulation of lyase activity, positive regulation of cyclase activity, regulation of cytokine production involved in inflammatory response, positive regulation of purine nucleotide biosynthetic process, interleukin-6 secretion, negative regulation of blood pressure, nitric oxide biosynthetic process, metabolic process, defense response, vesicle membrane, NADPH-hemoprotein reductase activity, FMN binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen, NADP binding, flavin adenine dinucleotide binding, heme binding"	skin	bd_ctl	up
comp267042	NA	NA	NA	5.265473997	2.780387669	22.16825954	2.50E-06	0.002468093	NA	NA	NA	skin	bd_ctl	up
comp167527	NA	NA	NA	5.113627376	2.204831433	18.7034504	1.53E-05	0.009199156	NA	NA	NA	skin	bd_ctl	up
comp343037	NA	NA	NA	4.969151458	0.666172291	13.61558145	0.000224316	0.040301428	NA	NA	NA	skin	bd_ctl	up
comp364490	NA	NA	NA	4.950202956	5.370731086	18.03960893	2.16E-05	0.011877359	NA	NA	NA	skin	bd_ctl	up
comp340790	NA	NA	NA	4.922961426	5.415953095	15.08347003	0.00010286	0.027474836	NA	NA	NA	skin	bd_ctl	up
comp353168	NA	NA	NA	4.911211459	2.613782779	25.15113554	5.30E-07	0.000949877	NA	NA	NA	skin	bd_ctl	up
comp343387	NA	NA	NA	4.906009912	0.417977707	16.08464404	6.06E-05	0.021342948	NA	NA	NA	skin	bd_ctl	up
comp339094	NA	NA	NA	4.893328274	1.609215741	14.00625572	0.000182203	0.036715808	NA	NA	NA	skin	bd_ctl	up
comp352488	NA	NA	NA	4.887339658	2.704027938	13.90173478	0.000192621	0.037321185	NA	NA	NA	skin	bd_ctl	up
comp295452	NA	NA	NA	4.863643163	1.681052257	13.04514209	0.000304072	0.048856721	NA	NA	NA	skin	bd_ctl	up
comp348194	Krt12	K1C12_MOUSE	"Keratin, type I cytoskeletal 12 (Cytokeratin-12) (CK-12) (Keratin-12) (K12)"	4.84798556	4.458296506	16.2665409	5.50E-05	0.020830806	"GO:0061303, GO:0005882, GO:0005198"	"BP, CC, MF"	"cornea development in camera-type eye, intermediate filament, structural molecule activity"	skin	bd_ctl	up
comp351581	NA	NA	NA	4.833225227	6.674869614	27.89303404	1.28E-07	0.00044492	NA	NA	NA	skin	bd_ctl	up
comp6301712	NA	NA	NA	4.713572834	1.437139847	16.23795503	5.59E-05	0.020830806	NA	NA	NA	skin	bd_ctl	up
comp358832	NA	NA	NA	4.686731881	1.072140736	27.10872561	1.92E-07	0.000475122	NA	NA	NA	skin	bd_ctl	up
comp359986	NA	NA	NA	4.457888547	4.11361496	14.05487821	0.000177553	0.036366995	NA	NA	NA	skin	bd_ctl	up
comp340871	NA	NA	NA	4.382799983	1.148009573	14.20178341	0.000164215	0.035663485	NA	NA	NA	skin	bd_ctl	up
comp363867	unc93a	UN93A_XENLA	Protein unc-93 homolog A (Unc-93A)	4.359193846	6.40347681	20.95344299	4.71E-06	0.004043521	NA	NA	NA	skin	bd_ctl	up
comp350422	NA	NA	NA	4.29519645	0.732202566	22.69518472	1.90E-06	0.002084371	NA	NA	NA	skin	bd_ctl	up
comp319472	NA	NA	NA	4.229242892	1.715634847	13.38863749	0.000253153	0.042398874	NA	NA	NA	skin	bd_ctl	up
comp355818	NA	NA	NA	4.181863322	6.213708571	28.16613104	1.11E-07	0.00044492	NA	NA	NA	skin	bd_ctl	up
comp359029	NA	NA	NA	4.139629673	7.53675503	25.7902105	3.81E-07	0.000752208	NA	NA	NA	skin	bd_ctl	up
comp364250	NA	NA	NA	4.068013923	9.902414272	24.50844013	7.40E-07	0.001044405	NA	NA	NA	skin	bd_ctl	up
comp361275	NA	NA	NA	4.057952089	3.274067411	15.17633948	9.79E-05	0.027454154	NA	NA	NA	skin	bd_ctl	up
comp290145	NA	NA	NA	4.025355172	1.695790754	15.24915053	9.42E-05	0.027383125	NA	NA	NA	skin	bd_ctl	up
comp359024	NA	NA	NA	4.020379586	3.151824385	14.47306979	0.000142178	0.032672772	NA	NA	NA	skin	bd_ctl	up
comp341038	NA	NA	NA	3.985043624	3.934913817	16.1471498	5.86E-05	0.021219465	NA	NA	NA	skin	bd_ctl	up
comp1358901	TRPV3	TRPV3_HUMAN	Transient receptor potential cation channel subfamily V member 3 (TrpV3) (Vanilloid receptor-like 3) (VRL-3)	3.948161777	1.223688075	17.1639532	3.43E-05	0.01575899	"GO:0090280, GO:0042634"	"BP, BP"	"positive regulation of calcium ion import, regulation of hair cycle"	skin	bd_ctl	up
